﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5KoSOyStzFgRHZ3xaU2NwA","Enter The Ninja","Die Antwoord","$O$","1","2","307813","spotify:user:tn.leprechaun","2014-11-16T15:39:53Z"
"spotify:track:3gpchbfL2VC4XqPB01mc7A","Fok Julie Naaiers","Die Antwoord","TEN$ION","1","11","234893","spotify:user:tn.leprechaun","2014-11-19T12:38:53Z"
"spotify:track:4JehYebiI9JE8sR8MisGVb","Halo","Beyoncé","I AM...SASHA FIERCE","1","2","261640","spotify:user:tn.leprechaun","2015-01-12T20:55:08Z"
"spotify:track:75QGpY5Eb8yq7GMebens4g","Untitled and Unloved","Killswitch Engage","Alive or Just Breathing (Topshelf Edition)","1","15","200640","spotify:user:tn.leprechaun","2015-01-18T18:53:22Z"
"spotify:track:1ytTeSRAU6IRo2itVDwtPv","Creep","Radiohead","The Best Of","1","4","238640","spotify:user:tn.leprechaun","2015-02-04T21:41:41Z"
"spotify:track:6rT0BKAbg4y35tukHcfk4N","Untitled","Simple Plan","Still Not Getting Any","1","11","239813","spotify:user:tn.leprechaun","2015-02-20T21:30:57Z"
"spotify:track:2GttMH50LmV8VtZaz4d1EL","Free Bird","Lynyrd Skynyrd","Lynyrd Skynyrd Greatest Hits","1","2","543266","spotify:user:tn.leprechaun","2015-03-08T14:04:31Z"
"spotify:track:5U8hKxSaDXB8cVeLFQjvwx","The Monster","Eminem, Rihanna","The Marshall Mathers LP2 (Deluxe)","1","12","250188","spotify:user:tn.leprechaun","2015-10-27T13:07:36Z"
"spotify:track:7v02Sn9vYRQ6pc1lqhnkWY","Save Tonight","Eagle-Eye Cherry","Desireless","1","1","236040","spotify:user:tn.leprechaun","2015-12-21T10:31:31Z"
"spotify:track:225xvV8r1yKMHErSWivnow","I Don't Want to Miss a Thing - From "Armageddon" Soundtrack","Aerosmith","Armageddon - The Album","1","1","298760","spotify:user:tn.leprechaun","2015-12-21T10:35:51Z"
"spotify:track:2cq26EEiqgUDP1VBKm9r6Z","When You Say Nothing At All","Ronan Keating","Notting Hill","1","2","254893","spotify:user:tn.leprechaun","2015-12-29T10:30:36Z"
"spotify:track:676DaZm7y91VNRsCWieHl2","Stay And Bleed","Cervello","Cervello","1","8","306693","spotify:user:tn.leprechaun","2016-02-21T14:48:03Z"
"spotify:track:0NkqfPo6Z4UpKq9ThAvpaa","I Will Remember You","Sarah McLachlan","The Essential Sarah McLachlan","1","15","291453","spotify:user:tn.leprechaun","2016-02-23T10:07:48Z"
"spotify:track:4rO1N4lzU8myXuZD6Ljdz7","Building a Mystery","Sarah McLachlan","The Essential Sarah McLachlan","1","16","247320","spotify:user:tn.leprechaun","2016-02-23T10:07:56Z"
"spotify:track:1xugsCboIm1yILqpLvH9aD","You Raise Me Up","Josh Groban","Closer (Special Edition)","1","12","292333","spotify:user:tn.leprechaun","2016-02-23T15:43:16Z"
"spotify:track:7d1hWO7D3FZbOiLROxbaSy","Happy Birthday","Flipsyde, Piper","Happy Birthday","1","1","195466","spotify:user:tn.leprechaun","2016-02-29T09:58:02Z"
"spotify:track:2n6FX3Jcg4b4Leoz0GOqBF","Wherever You Will Go","The Calling","Camino Palmero","1","3","208506","spotify:user:tn.leprechaun","2016-03-10T08:03:53Z"
"spotify:track:64yrDBpcdwEdNY9loyEGbX","21 Guns","Green Day","21st Century Breakdown","1","16","321093","spotify:user:tn.leprechaun","2016-04-05T10:06:20Z"
"spotify:track:1Yuim9eHBfG8YUJII28XDF","Figured You Out","Nickelback","The Long Road","1","7","228480","spotify:user:tn.leprechaun","2016-05-06T15:30:39Z"
"spotify:local:Yuka+Kitamura:Dark+Souls++III:Abyss+Watchers:146","Abyss Watchers","Yuka Kitamura","Dark Souls  III","0","0","146000","spotify:user:tn.leprechaun","2016-05-29T13:38:38Z"
"spotify:track:4EnkwZd0UJAuHpNMMemQaA","Closing Time","Semisonic","Feeling Strangely Fine","1","1","273533","spotify:user:tn.leprechaun","2016-06-05T10:32:36Z"
"spotify:track:5rYvoJOJ0y8AYodTdf3Wxi","Bad Day","Daniel Powter","Bad Day","1","1","233640","spotify:user:tn.leprechaun","2016-06-05T10:48:57Z"
"spotify:track:3QHONiXGMGU3z68mQInncF","I'll Be Missing You (feat. 112)","Diddy, Faith Evans, 112","Bad Boy's 10th Anniversary- The Hits","1","13","301520","spotify:user:tn.leprechaun","2016-06-12T10:12:14Z"
"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","Iris","The Goo Goo Dolls","Dizzy up the Girl","1","11","289533","spotify:user:tn.leprechaun","2016-07-03T09:06:30Z"
"spotify:track:1VylyWcBUNYGZex80qCAdi","Working Class Hero","Green Day","Working Class Hero","1","1","263733","spotify:user:tn.leprechaun","2018-04-18T14:42:13Z"
